nombre_de_servicio_turistico,identificador_de_clasificacion,clasificacion,identificador_de_categoria,categoria,identificador_de_subcategoria,subcategoria,direccion,correo_electronico,sitio_web,telefono,codigo_de_departamento,codigo_de_provincia,codigo_de_distrito,nombre_de_departamento,nombre_de_provincia,nombre_de_distrito,ruc,siglas,nombre_de_empresa,fecha_de_registro_de_empresa,fecha_actualizacion_datos_de_empresa
Arennas Mancora,2201,Establecimientos De Hospedaje,220101,Hoteles,22010103,H.3 Estrellas,Antigua Panamericana Norte Km. 1213,recepcion@arennas.com,www.arennasmancora.com,073 283800,20,07,06,Piura,Talara,Mancora,20102434596,Arennas Mancora,Inversiones Costa Norte S.A,2004-06-22,2025-01-04
Moche Tours Chiclayo,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Cl. Manco Capac 551 - Urb San Juan (Exclusivamente Digital),mochetours_chiclayo@hotmail.com      reservas@mochetourschiclayo.com.pe,www.mochetourschiclayo.com.pe,992 863 929,14,01,01,Lambayeque,Chiclayo,Chiclayo,20487726843,Moche Tours Chiclayo,Mendocilla Rodriguez Alfonso Emilio,2004-08-09,2025-01-17
San Jose,2201,Establecimientos De Hospedaje,220101,Hoteles,22010104,H.2 Estrellas,Av. Grau 1737,moralesp@hotelsanjose.com.pe,www.hotelsanjose.com.pe,073 305865,20,01,01,Piura,Piura,Piura,10038759634,San Jose,Morales De Ortega Marcia Luzmila,2004-08-12,2025-01-03
Gloria Plaza,2201,Establecimientos De Hospedaje,220101,Hoteles,22010103,H.3 Estrellas,Av. Miguel Grau 397,gloriaplazahotelchiclayo@gmail.com,,979724124,14,01,01,Lambayeque,Chiclayo,Chiclayo,20479753874,Gloria Plaza,Gloria Plaza Hotel & Casino Sac,2005-02-01,2025-01-20
Hostal Regional,2201,Establecimientos De Hospedaje,220103,Hostales,22010302,Hs.2 Estrellas,Cl. Las Dalias 579 Urb. Miraflores,hostalregional@gmail.com,www.hostalregionalpiura.com,073 342842,20,01,04,Piura,Piura,Castilla,10038700699,Hostal Regional,Castaneda Daubrowsky Colvert,2005-02-02,2025-01-03
Gaviotas,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Jr. Dos De Mayo 231,joshihm58@gmail.com,,943618184,02,11,01,Ancash,Huarmey,Huarmey,10321215284,Gaviotas,Henostroza Mota Diosalinda,2005-02-02,2025-01-03
El Sol,2201,Establecimientos De Hospedaje,220103,Hostales,22010301,Hs.3 Estrellas,Av. Sanchez Cerro 411,reservas@hotel-elsol.com,,073 324971,20,01,01,Piura,Piura,Piura,20398235941,El Sol,Servicios Turisticos Coral S.R.Ltda,2005-02-02,2025-01-03
Hospedaje Peony,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Av. Uchuracay (Ex Country) 970 (E-2) Urb. Club Grau,rvchucam@hotmail.com,,073 624812,20,01,01,Piura,Piura,Piura,10033859169,Hospedaje Peony,Chu Cam Roxana Vanesa,2005-02-02,2025-01-03
Villa Del Sol,2201,Establecimientos De Hospedaje,220101,Hoteles,22010104,H.2 Estrellas,Av. Grau No 1224,hotel_villadelsol@hotmail.com,www.hotel-villadelsol.com,073 304441,20,01,01,Piura,Piura,Piura,10027845997,Villa Del Sol,Samaniego Cosios Francisco Florencio,2005-02-02,2025-01-03
Kimbas Bungalow,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Barrio Industrial 101. Mancora. Km 1164 Panamericana Norte,kimbas00@hotmail.com    office@kimbasbungalows.com,www.kimbasbungalows.com,073 258373,20,07,06,Piura,Talara,Mancora,10095322463,Kimbas Bungalow,Magnani Salcedo Vanessa Giovanna,2005-02-02,2025-01-04
Las Pocitas,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Carretera Antigua Panamericana  Km. 1216,reservas@laspocitas.pe,www.laspocitas.pe,998 139 711,20,07,06,Piura,Talara,Mancora,20122847722,Las Pocitas,Negocios La Planicie S.A.,2005-02-02,2025-01-04
Hotel Del Wawa,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Ps. 8 De Octubre S/N (Costado Hostal Olas),info@delwawa.com,www.delwawa.com,073 291030,20,07,06,Piura,Talara,Mancora,20409461442,Hotel Del Wawa,Inversiones Deursus E.I.R.L,2005-02-02,2025-01-04
Bungalows Las Balsas,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Carretera Antigua Panamericana Norte S/N,lasbalsasmancora@gmail.com,www.lasbalsasmancora.com,949491303,20,07,06,Piura,Talara,Mancora,20525751253,Bungalows Las Balsas,Servicios Generales A.G.M E.I.R.L.,2005-02-02,2025-01-04
Hotel Remanso,2201,Establecimientos De Hospedaje,220101,Hoteles,22010103,H.3 Estrellas,Urb. Miguel Grau W2-31-32 - Av. Anchoveta,elremanso_hotel@hotmail.com,,043 319014,02,18,09,Ancash,Santa,Nuevo Chimbote,20531822596,Hotel Remanso,Remanso Travel S.A.C.,2005-02-02,2025-01-07
Aguila Real,2201,Establecimientos De Hospedaje,220101,Hoteles,22010104,H.2 Estrellas,Av. Anchoveta - Miguel Grau F3-15,reserva@hotelaguilareal.com.pe     informes@hotelaguilareal.com.pe,http://www.hotelaguilareal.com.pe/contacto.php,043 312731,02,18,09,Ancash,Santa,Nuevo Chimbote,10327764581,Aguila Real,Iglesias Sandoval Ofelia Tomasa,2005-02-02,2025-01-23
El Farol I,2201,Establecimientos De Hospedaje,220103,Hostales,22010301,Hs.3 Estrellas,Av. Tupac Amaru 450,hostalelfarol@hotmail.com,,994175409,02,08,01,Ancash,Casma,Casma,20492573095,El Farol I,Giada S.R.L.,2005-02-02,2025-01-24
Cultural Immersion Travel Peru,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. San Andres 477,info@culturalimmersion.org    reservas@culturalimmersion.org,www.culturalimmersion.org,084 225183,08,01,01,Cusco,Cusco,Cusco,20490651676,Cultural Immersion Travel Peru,Cultural Immersion Travel Peru E.I.R.L.,2005-10-27,2025-01-29
Cumbres Andinas Tour Operador,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,"Cl. Jerusalen 510- A, Piso 3",peru@cumbres-andinas.com,,969686911,04,01,26,Arequipa,Arequipa,Yanahuara,20454106505,Cumbres Andinas Tour Operador,Cumbres Andinas S.A.C.,2005-12-06,2025-01-16
Villa Mayor Posada,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Portal Nuevo 246 (Plaza Regocijo),reservascusco@grupovillamayor.net,www.grupovillamayor.net,084 263932,08,01,01,Cusco,Cusco,Cusco,20527463883,Villa Mayor Posada,Servicios Turisticos Villa Mayor S.A.C,2006-01-27,2025-01-13
Camino Real,2201,Establecimientos De Hospedaje,220101,Hoteles,22010104,H.2 Estrellas,Av. Camino Real 349,reserva.hotelcaminoreal@gmail.com,,043 771854,02,18,01,Ancash,Santa,Chimbote,20605240012,Camino Real,Inversiones Turisticas Real Flor Sac,2006-02-07,2025-01-22
El Ensueno,2201,Establecimientos De Hospedaje,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Saenz Pena 268,hostalelensuenochimbote@gmail.com,,902186341,02,18,01,Ancash,Santa,Chimbote,10328658173,El Ensueno,Velasquez Barrenechea Zoila Haydee,2006-02-13,2025-01-30
Aguitours Las Capullanas,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Av. Agua Marina Mz-G L-2. Urb. Bello Horizonte,aguitourslascapullanas@hotmail.com,,073 365204,20,01,01,Piura,Piura,Piura,20484047317,Aguitours Las Capullanas,Aguitours Las Capullanas Eirl,2006-05-18,2025-01-04
Agencia De  Viajes Y Turismo Pakareqtampu Travel,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Urb. Zaguan Del Cielo R-22 (Presencial Y Digital),pakareqtamputravel@yahoo.es,www.pakareqtamputravel.com,984747597,08,01,01,Cusco,Cusco,Cusco,20527525749,Agencia De  Viajes Y Turismo Pakareqtampu Travel,Agencia De Viajes Y Turismo Pakareqtampu Travel S.C.R.L.,2006-05-18,2025-01-26
Marlon'S Travel,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Plaza Campo Redondo 100,arequipa@marlonhouse.com,www.marlons-travel.com,054 285936,04,01,01,Arequipa,Arequipa,Arequipa,20454187661,Marlon'S Travel,Marlon'S Travel E.I.R.L.,2006-07-14,2025-01-30
Marlon'S Travel,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. Nueva Baja 496,marlonstravelcuzco@gmail.com,www.marlons-travel.com,959993201,08,01,01,Cusco,Cusco,Cusco,20454187661,Marlon'S Travel,Marlon'S Travel E.I.R.L.,2006-07-14,2025-01-30
Servitours,2203,Transporte,220301,Terrestre,22030102,Transporte Turistico,Av. Corpac 212 (Al Interior Aeropuerto),servitourspiura@hotmail.com,www.servitourspiura.com,994092426,20,01,04,Piura,Piura,Castilla,20316956271,Servitours,Servicios De Turismo S.R.L.,2006-10-16,2025-01-04
Servitours,2203,Transporte,220301,Terrestre,22030103,Taxis,Av. Corpac 212 (Al Interior Aeropuerto),servitourspiura@hotmail.com,www.servitourspiura.com,994092426,20,01,04,Piura,Piura,Castilla,20316956271,Servitours,Servicios De Turismo S.R.L.,2006-10-16,2025-01-04
Servitours,2203,Transporte,220301,Terrestre,22030104,Alquiler De Autos,Av. Corpac 212 (Al Interior Aeropuerto),servitourspiura@hotmail.com,www.servitourspiura.com,994092426,20,01,04,Piura,Piura,Castilla,20316956271,Servitours,Servicios De Turismo S.R.L.,2006-10-16,2025-01-04
Canechi Tours,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Av. Luis Montero 490 Urb. Miraflores,canechi@hotmail.com    gerencia@canechitours.com,www.canechitours.com,969913960,20,01,04,Piura,Piura,Castilla,20484020460,Canechi Tours,Canechi Tours S.A.C.,2007-01-16,2025-01-04
Proviatur - Tour Operador,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. Los Girasoles D4- Urbanizacion La Florida (Presencial Y Digital),proviaturperu@gmail.com,www.proviatur-peru.com,074 238228,14,01,01,Lambayeque,Chiclayo,Chiclayo,10164932490,Proviatur - Tour Operador,Malca Gordillo Sonia R.,2007-01-19,2025-01-17
El Mirador De Vichayito,2201,Establecimientos De Hospedaje,220103,Hostales,22010301,Hs.3 Estrellas,Altura Km. 1213 De La Antigua Panamericana Norte,info@elmiradordevichayito.com,www.elmiradordevichayito.com,986 727 227,20,07,05,Piura,Talara,Los Organos,20536979922,El Mirador De Vichayito,Vialo Srl,2007-02-23,2025-01-04
Veleritos Bungalows,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Pasaje 1 Ndeg 4 - Playa Punta Veleros,reservas@veleritos.com,www.veleritos.com,989 032 561,20,07,05,Piura,Talara,Los Organos,10038991260,Veleritos Bungalows,Lucar Silva Jose Rolando,2007-02-23,2025-01-04
Bungalows Hanga Roa,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Condominio El Mirador De Punta  Veleros,hagaroaperu@yahoo.es,www.hangaroalosorganos.com,992 215 041,20,07,05,Piura,Talara,Los Organos,20525552137,Bungalows Hanga Roa,Hanga Roa Peru S.A.C,2007-02-23,2025-01-03
Pena Linda Bungalows,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Antigua Panamericana Norte Km. 1213,penalinda@yahoo.com,www.penalindamancora.com,977 453 232,20,07,06,Piura,Talara,Mancora,20525260942,Pena Linda Bungalows,Pena Linda Bungalows S.A.C.,2007-02-26,2025-01-04
O'Rei Suites,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Calle Primavera 42 La Encalada Del Golf (Cerca Al Grifo Texaco Del Ovalo La Marina),contactos@oreisuites.pe,,949161765,13,01,11,La Libertad,Trujillo,Victor Larco Herrera,20481123586,O'Rei Suites,Inversiones Turisticas Sesa S.A.C.,2007-03-06,2025-01-25
Polleria La Fogata,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Cl. Libertad 171,,,073 304749,20,01,01,Piura,Piura,Piura,17156019224,Polleria La Fogata,Garcia De Aguinaga Carmen Urteaga,2007-03-21,2025-01-06
Polleria Mi Carreta,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Jr. Huancavelica 728,nan,,073 304231,20,01,01,Piura,Piura,Piura,10026912917,Polleria Mi Carreta,Farfan Rishing Jorge,2007-03-21,2025-01-06
Snack Bar Romano,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Jr. Ayacucho 580,lcastillomartinez@gmail.com,,073 323399,20,01,01,Piura,Piura,Piura,20105354330,Snack Bar Romano,Snack Bar Romano E.I.R.L.,2007-03-21,2025-01-06
Bar El Marques De Los Portales,2204,Entretenimiento,220409,Bares/Pubs,220409,Bares/Pubs,Calle Libertad 875,losportalesreservas@losportales.com.pe,www.hotelportalespiura.com,073 321161,20,01,01,Piura,Piura,Piura,20301837896,Bar El Marques De Los Portales,Los Portales S.A,2007-03-28,2025-01-04
Posada Del Sol,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,"Panamericana Mza. C1, Lote 10 Urb. San Ramon",,,073 308729,20,01,01,Piura,Piura,Piura,10028614476,Posada Del Sol,Vegas Romero Yessenia,2007-03-28,2025-01-03
Empresa De Transportes Vegas,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Av. Panamericana C10 - Lt 10, Urb. San Ramon",nan,,073 308729,20,02,01,Piura,Ayabaca,Ayabaca,20222237123,Empresa De Transportes Vegas,Empresa De Transportes Vegas,2007-04-19,2025-01-04
Transportes El Poderoso Cautivo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Prolongacion Sanchez Cerro Mz. 09 Lt. S/N - Zona Industrial (Terminal Gechisa),eliana_st@hotmail.com,,073 750267,20,01,01,Piura,Piura,Piura,20276304721,Transportes El Poderoso Cautivo,Transportes El Poderoso Cautivo E.I.R.L.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Sanchez Cerro No 1121,nan,www.transporteschiclayo.com,073 308455,20,01,01,Piura,Piura,Piura,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Jose Leonardo Ortiz 010,atencionalcliente@transporteschiclayo.pe,www.transporteschiclayo.com,074 607 032,14,01,01,Lambayeque,Chiclayo,Chiclayo,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Tupac Amaru Cdra. 69 - Gran Terminal Terrestre,,www.transporteschiclayo.com,01 5440609,15,01,12,Lima,Lima,Independencia,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Via De Evitamiento Sur 2339 - Nuevo Terminal Terrestre,,www.transporteschiclayo.com,074 607032,06,01,01,Cajamarca,Cajamarca,Cajamarca,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Mesones Muro Cuadra 7 Esquina Av. La Marina,,www.transporteschiclayo.com,972013941,06,08,01,Cajamarca,Jaen,Jaen,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,"Av. Panamericana Nte. 1249, Tumbes.",ofi.tumbes@transporteschiclayo.pe,www.transporteschiclayo.com,072 525260,24,01,01,Tumbes,Tumbes,Tumbes,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
Transportes Chiclayo,2203,Transporte,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Paseo De La Republica 857,atencionalcliente@transporteschiclayo.pe,www.transporteschiclayo.com,972013941,15,01,15,Lima,Lima,La Victoria,20103626448,Transportes Chiclayo,Empresa De Transportes Chiclayo S.A.,2007-04-19,2025-01-04
China Wok,2202,Alimentos Y Bebidas,220207,Fast Foods,220207,Fast Foods,C.C Open Plaza /  C.C Real Plaza,nan,www.chinawok.com.pe,01 6128000,20,01,01,Piura,Piura,Piura,20101869947,China Wok,Alert Del Peru S.A,2007-06-11,2025-01-06
China Wok,2202,Alimentos Y Bebidas,220221,Chifas,220221,Chifas,C.C Open Plaza /  C.C Real Plaza,nan,www.chinawok.com.pe,01 6128000,20,01,01,Piura,Piura,Piura,20101869947,China Wok,Alert Del Peru S.A,2007-06-11,2025-01-06
China Wok,2202,Alimentos Y Bebidas,220221,Chifas,220221,Chifas,"Av. Ejercito 1009, Local 233. C.C. Real Plaza",,www.chinawok.com.pe,01 6128000,04,01,03,Arequipa,Arequipa,Cayma,20101869947,China Wok,Alert Del Peru S.A,2007-06-11,2025-01-06
China Wok,2202,Alimentos Y Bebidas,220207,Fast Foods,220207,Fast Foods,"Av. Ejercito 1009, Local 233. C.C. Real Plaza",,www.chinawok.com.pe,01 6128000,04,01,03,Arequipa,Arequipa,Cayma,20101869947,China Wok,Alert Del Peru S.A,2007-06-11,2025-01-06
Ganesa Explorer,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Av. Luzuriaga 650-2deg Piso,ganesaexpeditions@hotmail.com,,943480202,02,01,01,Ancash,Huaraz,Huaraz,10316576261,Ganesa Explorer,Sucesion Indivisa Palma Zambrano Rosalina Blanca,2007-06-20,2025-01-22
Turismo Ideal,2205,Agencias De Viajes Y Turismo,220502,Agencias Minoristas,220502,Agencias Minoristas,Av. Jose Balta 901 (Presencial Y Digital),turismoideal1@hotmail.com,www.turismoideal.com,995774550,14,01,01,Lambayeque,Chiclayo,Chiclayo,20352947165,Turismo Ideal,Turismo Ideal E.I.R.Ltda.,2007-07-20,2025-01-17
El Ajicito,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Av. Las Gardenias Mz B Lt 5 Urb.La Providencia,elnuevoajicito@hotmail.com,nan,073 331290,20,01,01,Piura,Piura,Piura,20526694997,El Ajicito,Restaurant Cevicheria El Ajicito E.I.R.L.,2007-07-26,2025-01-06
Piura Taxi,2203,Transporte,220301,Terrestre,22030103,Taxis,Urb. Santa Ana - 1,serviciospiurataxi@hotmail.com,www.piurataxi.com,073 303999,20,01,01,Piura,Piura,Piura,10026117416,Piura Taxi,Ines Isabel Lozada Farfan,2007-08-08,2025-01-04
Mundo Visa Tours,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. Junin 544,mundovisatoursperu@gmail.com,www.mundovisatours.pe,977256885,20,01,01,Piura,Piura,Piura,20602033831,Mundo Visa Tours,Mundo Visa Tours E.I.R.L,2007-08-22,2025-01-04
Aranwa Vichayito Bungalows & Carpas,2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,Carretera Antigua Panamericana Norte Vichayito Km 1211,reservas@aranwahotels.com,www.aranwahotels.com,01 2070440,20,07,05,Piura,Talara,Los Organos,20510931514,Aranwa Vichayito Bungalows & Carpas,Peruvian Tours Agency S.A.C.,2007-10-31,2025-01-04
Peru Paradise Travel,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Urb. Los Pinos Mz E Lt 16 Pimentel (Presencial Y Digital),info@voyageauperou.info     nancy@peruparadisetravel.com,www.peruviaggi.info     www.peruparadisetravel.com,947941735,14,01,12,Lambayeque,Chiclayo,Pimentel,20480044151,Peru Paradise Travel,Peru Paradise Travel Eirl,2007-11-16,2025-01-17
Long Horn,2202,Alimentos Y Bebidas,220205,Restaurantes De Carnes Y Parrillas,220205,Restaurantes De Carnes Y Parrillas,Av. Sanchez Cerro Ndeg 234.  (C.C Real Plaza- 1Er Nivel),admi.piura@longhorn.com.pe,www.longhorn.com.pe,073 306086,20,01,01,Piura,Piura,Piura,20554742573,Long Horn,L.H. Piura S.A.C.,2008-08-04,2025-01-06
Long Horn,2202,Alimentos Y Bebidas,220205,Restaurantes De Carnes Y Parrillas,220205,Restaurantes De Carnes Y Parrillas,"C.C. Real Plaza Cajamarca, Av. Via De Evitamiento Norte",,www.longhorn.com.pe,076 357099,06,01,01,Cajamarca,Cajamarca,Cajamarca,20554742573,Long Horn,L.H. Piura S.A.C.,2008-08-04,2025-01-06
Picanteria La Chayo,2202,Alimentos Y Bebidas,220218,Picanterias,220218,Picanterias,Jr.San Francisco 497,lachayo.catacaos@gmail.com,,969675140,20,01,05,Piura,Piura,Catacaos,10027023831,Picanteria La Chayo,Zapata Juarez Jacinto,2008-09-25,2025-01-06
Andean Lodges,2201,Establecimientos De Hospedaje,220108,Ecolodge,220108,Ecolodge,"Alfredo Yepez Miranda C-5, Dpto.201, Urb. Magisterial Segunda Etapa (Presencial Y Digital)",info@andeanlodges.com,www.andeanlodges.com,084 224613,08,01,01,Cusco,Cusco,Cusco,20527679622,Andean Lodges,Camino Del Apu Ausangate S.C.R.L,2008-12-03,2025-01-26
Andean Lodges,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,"Alfredo Yepez Miranda C-5, Dpto.201, Urb. Magisterial Segunda Etapa (Presencial Y Digital)",info@andeanlodges.com,www.andeanlodges.com,084 224613,08,01,01,Cusco,Cusco,Cusco,20527679622,Andean Lodges,Camino Del Apu Ausangate S.C.R.L,2008-12-03,2025-01-26
Expediciones Wayna Picchu,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. Quera 227,expe_waynapicchu@hotmail.com,https://www.expedicioneswaynapicchu.com/,984679545,08,01,01,Cusco,Cusco,Cusco,20450730174,Expediciones Wayna Picchu,Expediciones Wayna Picchu Travel Agency E.I.R.L.,2009-02-11,2025-01-18
Hotel Sol Maria,2201,Establecimientos De Hospedaje,220101,Hoteles,22010104,H.2 Estrellas,Cl. Junin 675,hotelsolmaria@hotmail.com,www.hotelsolmaria.com,073 307143,20,01,01,Piura,Piura,Piura,20525327958,Hotel Sol Maria,Hotel Sol Maria E.I.R.L.,2009-06-23,2025-01-03
Peru Apurimac Travel,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Cl. Pumapaccha 634,peruapurimactravel0@gmail.com,,900215177,08,01,01,Cusco,Cusco,Cusco,20492316441,Peru Apurimac Travel,Peru Apurimac Travel S.A.C.,2009-09-04,2025-01-26
"Hotel Dco Suites, Lounge & Spa",2201,Establecimientos De Hospedaje,220107,Hospedaje No Categorizado,220107,Hospedaje No Categorizado,"Ex Panamericana Norte Km 1214 + 800 Las Pocitas, Mancora",informes@hoteldco.com,www.hoteldco.com,073 258171,20,07,06,Piura,Talara,Mancora,20514752240,"Hotel Dco Suites, Lounge & Spa",Inversiones Del Sol Y La Luna S.A.C,2009-10-26,2025-01-04
Restaurant Turistico La Tomasita,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Cl. Tacna 853,gerencia@latomasitarestaurant.com,www.latomasitarestaurant.com,073 321957,20,01,01,Piura,Piura,Piura,20525954014,Restaurant Turistico La Tomasita,Restaurant Del Norte S.A.C.,2009-12-03,2025-01-06
Perou Tours,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,"Av. Jorge Chavez B-1, Apv. Reyna De Belen",peroutours@gmail.com,www.peroutours.com,984515268,08,01,08,Cusco,Cusco,Wanchaq,20489989337,Perou Tours,Perou Tours E.I.R.L,2010-01-04,2025-01-31
Santu Tour Operador,2205,Agencias De Viajes Y Turismo,220503,Operador De Turismo,220503,Operador De Turismo,Sector Huincho Km 70,info@santucusco.com,www.santucusco.com,984672579,08,13,01,Cusco,Urubamba,Urubamba,20490311905,Santu Tour Operador,Illa Yaku S.A.C.,2010-04-19,2025-01-25
Don Parce,2202,Alimentos Y Bebidas,220216,Restaurant & Bar,220216,Restaurant & Bar,Cl. Arequipa 943 - 2Do Piso,,,969092812,20,01,01,Piura,Piura,Piura,20607543501,Don Parce,San Jose Restaurante Eirl,2010-05-31,2025-01-06
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Pje. San Ramon 104,calledelaspizzas@rustica.com.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,22,Lima,Lima,Miraflores,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Cl. Juan Figari 135,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,22,Lima,Lima,Miraflores,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Av. Pedro De Osma 105 - Parque Municipal,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,04,Lima,Lima,Barranco,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Playa Barranquito S/N Urb. Costa Verde,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,04,Lima,Lima,Barranco,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Cc. Real Plaza Centro Civico - Av. Inca Garcilaso De La Vega 1337 Int. 2172,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,01,Lima,Lima,Cercado De Lima,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,"Jr. Huallaga 140, Frente A Palacio De Gobierno Y Costado De La Catedral De Lima",rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,01,Lima,Lima,Cercado De Lima,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
Rustica,2202,Alimentos Y Bebidas,220202,Restaurantes Comida Peruana,220202,Restaurantes Comida Peruana,Av. Nicolas De Pierola 910,rustica@hellomarketing.pe,https://cartas.rclub.pe/tiendas,01  6807070,15,01,01,Lima,Lima,Cercado De Lima,20557123106,Rustica,Fundacion Corporacion Rustica,2011-02-10,2025-01-29
