NOMBRE DE SERVICIO TURÍSTICO;IDENTIFICADOR DE CLASIFICACIÓN;CLASIFICACIÓN;IDENTIFICADOR DE CATEGORÍA;CATEGORÍA;IDENTIFICADOR DE SUBCATEGORÍA;SUBCATEGORÍA;DIRECCIÓN;CORREO ELECTRÓNICO;SITIO WEB;TELÉFONO;CÓDIGO DE DEPARTAMENTO;CÓDIGO DE PROVINCIA;CÓDIGO DE DISTRITO;NOMBRE DE DEPARTAMENTO;NOMBRE DE PROVINCIA;NOMBRE DE DISTRITO;RUC;SIGLAS;NOMBRE DE EMPRESA;FECHA DE REGISTRO DE EMPRESA;FECHA ACTUALIZACIÓN DATOS DE EMPRESA
Arennas Máncora;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Antigua Panamericana Norte Km. 1213;recepcion@arennas.com;www.arennasmancora.com; 073 283800 ;20;7;6;Piura;Talara;Máncora;20102434596;Arennas Máncora;Inversiones Costa Norte S.A;22/06/2004;4/01/2025
Moche Tours Chiclayo;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Cl. Manco Capac 551 - Urb San Juan (Exclusivamente Digital) ;mochetours_chiclayo@hotmail.com      reservas@mochetourschiclayo.com.pe;www.mochetourschiclayo.com.pe;992 863 929;14;1;1;Lambayeque;Chiclayo;Chiclayo;20487726843;Moche Tours Chiclayo;Mendocilla Rodríguez Alfonso Emilio;9/08/2004;17/01/2025
San José;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Grau 1737;moralesp@hotelsanjose.com.pe;www.hotelsanjose.com.pe; 073 305865;20;1;1;Piura;Piura;Piura;10038759634;San José;Morales de Ortega Marcia Luzmila;12/08/2004;3/01/2025
Gloria Plaza;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Av. Miguel Grau 397 ; gloriaplazahotelchiclayo@gmail.com;  ;979724124;14;1;1;Lambayeque;Chiclayo;Chiclayo;20479753874;Gloria Plaza;Gloria Plaza Hotel & Casino SAC;1/02/2005;20/01/2025
Hostal Regional;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Cl. Las Dalias 579 Urb. Miraflores;hostalregional@gmail.com;www.hostalregionalpiura.com;073 342842;20;1;4;Piura;Piura;Castilla;10038700699;Hostal Regional;Castañeda Daubrowsky Colvert;2/02/2005;3/01/2025
Gaviotas;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Jr. Dos de Mayo 231 ; joshihm58@gmail.com; ;943618184;2;11;1;Áncash;Huarmey;Huarmey;10321215284;Gaviotas;Henostroza Mota Diosalinda;2/02/2005;3/01/2025
El Sol;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010301;Hs.3 Estrellas;Av. Sánchez Cerro 411;reservas@hotel-elsol.com; ; 073 324971;20;1;1;Piura;Piura;Piura;20398235941;El Sol;Servicios Turísticos Coral S.R.LTDA;2/02/2005;3/01/2025
Hospedaje Peony;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Av. Uchuracay (ex Country) 970 (E-2) Urb. Club Grau;rvchucam@hotmail.com; ;073 624812;20;1;1;Piura;Piura;Piura;10033859169;Hospedaje Peony;Chu Cam Roxana Vanesa;2/02/2005;3/01/2025
Villa del Sol;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Grau Nº 1224;hotel_villadelsol@hotmail.com;www.hotel-villadelsol.com;073 304441;20;1;1;Piura;Piura;Piura;10027845997;Villa del Sol;Samaniego Cosios Francisco Florencio;2/02/2005;3/01/2025
Kimbas Bungalow;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Barrio Industrial 101. Máncora. Km 1164 Panamericana Norte;kimbas00@hotmail.com    office@kimbasbungalows.com;www.kimbasbungalows.com; 073 258373;20;7;6;Piura;Talara;Máncora;10095322463;Kimbas Bungalow;Magnani Salcedo Vanessa Giovanna;2/02/2005;4/01/2025
Las Pocitas;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Carretera Antigua Panamericana  Km. 1216;reservas@laspocitas.pe;www.laspocitas.pe;998 139 711;20;7;6;Piura;Talara;Máncora;20122847722;Las Pocitas;Negocios La Planicie S.A.;2/02/2005;4/01/2025
Hotel del Wawa;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Ps. 8 de Octubre S/N (Costado Hostal Olas);info@delwawa.com;www.delwawa.com; 073 291030;20;7;6;Piura;Talara;Máncora;20409461442;Hotel del Wawa;Inversiones Deursus E.I.R.L;2/02/2005;4/01/2025
Bungalows Las Balsas;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Carretera Antigua Panamericana Norte S/N;lasbalsasmancora@gmail.com;www.lasbalsasmancora.com;949491303;20;7;6;Piura;Talara;Máncora;20525751253;Bungalows Las Balsas;Servicios Generales A.G.M E.I.R.L.;2/02/2005;4/01/2025
Hotel Remanso ;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010103;H.3 Estrellas;Urb. Miguel Grau W2-31-32 - Av. Anchoveta;elremanso_hotel@hotmail.com;  ; 043 319014;2;18;9;Áncash;Santa;Nuevo Chimbote;20531822596;Hotel Remanso ;Remanso Travel S.A.C.;2/02/2005;7/01/2025
Aguila Real;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Anchoveta - Miguel Grau F3-15;reserva@hotelaguilareal.com.pe     informes@hotelaguilareal.com.pe;http://www.hotelaguilareal.com.pe/contacto.php; 043 312731;2;18;9;Áncash;Santa;Nuevo Chimbote;10327764581;Aguila Real;Iglesias Sandoval Ofelia Tomasa;2/02/2005;23/01/2025
El Farol I;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010301;Hs.3 Estrellas;Av. Túpac Amaru 450;hostalelfarol@hotmail.com; ;994175409;2;8;1;Áncash;Casma;Casma;20492573095;El Farol I;Giada S.R.L.;2/02/2005;24/01/2025
Cultural Immersion Travel Perú;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. San Andrés 477;info@culturalimmersion.org    reservas@culturalimmersion.org;www.culturalimmersion.org; 084 225183;8;1;1;Cusco;Cusco;Cusco;20490651676;Cultural Immersion Travel Perú;Cultural Immersion Travel Perú E.I.R.L.;27/10/2005;29/01/2025
Cumbres Andinas Tour Operador;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo; Cl. Jerusalén 510- A, Piso 3 ;peru@cumbres-andinas.com; ;969686911;4;1;26;Arequipa;Arequipa;Yanahuara;20454106505;Cumbres Andinas Tour Operador;Cumbres Andinas S.A.C.;6/12/2005;16/01/2025
Villa Mayor Posada ;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Portal Nuevo 246 (Plaza Regocijo);reservascusco@grupovillamayor.net;www.grupovillamayor.net;084 263932;8;1;1;Cusco;Cusco;Cusco;20527463883;Villa Mayor Posada ;Servicios Turísticos Villa Mayor S.A.C;27/01/2006;13/01/2025
Camino Real;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Av. Camino Real 349; reserva.hotelcaminoreal@gmail.com; ; 043 771854;2;18;1;Áncash;Santa;Chimbote;20605240012;Camino Real;Inversiones Turísticas Real Flor SAC;7/02/2006;22/01/2025
El Ensueño;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010302;Hs.2 Estrellas;Jr. Saenz Peña 268; hostalelensuenochimbote@gmail.com; ;902186341;2;18;1;Áncash;Santa;Chimbote;10328658173;El Ensueño;Velasquez Barrenechea Zoila Haydee;13/02/2006;30/01/2025
Aguitours Las Capullanas;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Agua Marina Mz-G L-2. Urb. Bello Horizonte;aguitourslascapullanas@hotmail.com;   ;073 365204;20;1;1;Piura;Piura;Piura;20484047317;Aguitours Las Capullanas;Aguitours Las Capullanas EIRL;18/05/2006;4/01/2025
Agencia de  Viajes y Turismo Pakareqtampu Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Urb. Zaguán del Cielo R-22 (Presencial y Digital);pakareqtamputravel@yahoo.es;www.pakareqtamputravel.com;984747597;8;1;1;Cusco;Cusco;Cusco;20527525749;Agencia de  Viajes y Turismo Pakareqtampu Travel;Agencia de Viajes y Turismo Pakareqtampu Travel S.C.R.L.;18/05/2006;26/01/2025
Marlon's Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Plaza Campo Redondo 100;arequipa@marlonhouse.com;www.marlons-travel.com; 054 285936;4;1;1;Arequipa;Arequipa;Arequipa;20454187661;Marlon's Travel;Marlon's Travel E.I.R.L.;14/07/2006;30/01/2025
Marlon's Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Nueva Baja 496 ;marlonstravelcuzco@gmail.com;www.marlons-travel.com;959993201;8;1;1;Cusco;Cusco;Cusco;20454187661;Marlon's Travel;Marlon's Travel E.I.R.L.;14/07/2006;30/01/2025
Servitours;2203;TRANSPORTE;220301;Terrestre;22030102;Transporte turístico;Av. Córpac 212 (al interior Aeropuerto);servitourspiura@hotmail.com;www.servitourspiura.com;994092426;20;1;4;Piura;Piura;Castilla;20316956271;Servitours;Servicios De Turismo S.R.L.;16/10/2006;4/01/2025
Servitours;2203;TRANSPORTE;220301;Terrestre;22030103;Taxis;Av. Córpac 212 (al interior Aeropuerto);servitourspiura@hotmail.com;www.servitourspiura.com;994092426;20;1;4;Piura;Piura;Castilla;20316956271;Servitours;Servicios De Turismo S.R.L.;16/10/2006;4/01/2025
Servitours;2203;TRANSPORTE;220301;Terrestre;22030104;Alquiler de autos;Av. Córpac 212 (al interior Aeropuerto);servitourspiura@hotmail.com;www.servitourspiura.com;994092426;20;1;4;Piura;Piura;Castilla;20316956271;Servitours;Servicios De Turismo S.R.L.;16/10/2006;4/01/2025
Canechi Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Luis Montero 490 Urb. Miraflores;canechi@hotmail.com    gerencia@canechitours.com;www.canechitours.com;969913960;20;1;4;Piura;Piura;Castilla;20484020460;Canechi Tours;Canechi Tours S.A.C.;16/01/2007;4/01/2025
Proviatur - Tour Operador;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Los Girasoles D4- Urbanización La Florida (Presencial y Digital);proviaturperu@gmail.com;www.proviatur-peru.com;074 238228;14;1;1;Lambayeque;Chiclayo;Chiclayo;10164932490;Proviatur - Tour Operador;Malca Gordillo Sonia R.;19/01/2007;17/01/2025
El Mirador de Vichayito;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220103;Hostales;22010301;Hs.3 Estrellas;Altura Km. 1213 de la Antigua Panamericana Norte;info@elmiradordevichayito.com;www.elmiradordevichayito.com;986 727 227;20;7;5;Piura;Talara;Los Órganos;20536979922;El Mirador de Vichayito;Vialo SRL;23/02/2007;4/01/2025
Veleritos Bungalows;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Pasaje 1 N° 4 - Playa Punta Veleros;reservas@veleritos.com;www.veleritos.com;989 032 561;20;7;5;Piura;Talara;Los Órganos;10038991260;Veleritos Bungalows;Lúcar Silva José Rolando;23/02/2007;4/01/2025
Bungalows Hanga Roa;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Condominio El Mirador de Punta  Veleros;hagaroaperu@yahoo.es;www.hangaroalosorganos.com;992 215 041;20;7;5;Piura;Talara;Los Órganos;20525552137;Bungalows Hanga Roa;Hanga Roa Perú S.A.C;23/02/2007;3/01/2025
Peña Linda Bungalows;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado; Antigua Panamericana Norte Km. 1213;penalinda@yahoo.com;www.penalindamancora.com;977 453 232;20;7;6;Piura;Talara;Máncora;20525260942;Peña Linda Bungalows;Peña Linda Bungalows S.A.C.;26/02/2007;4/01/2025
O'Rei Suites;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Calle Primavera 42 La Encalada del Golf (Cerca al Grifo Texaco del Óvalo La Marina);contactos@oreisuites.pe;  ;949161765;13;1;11;La Libertad;Trujillo;Víctor Larco Herrera;20481123586;O'Rei Suites;Inversiones Turísticas Sesa S.A.C.;6/03/2007;25/01/2025
Polleria La Fogata;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Cl. Libertad 171; ; ;073 304749;20;1;1;Piura;Piura;Piura;17156019224;Polleria La Fogata;García de Aguinaga Carmen Urteaga;21/03/2007;6/01/2025
Pollería Mi Carreta;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Jr. Huancavelica 728;;    ; 073 304231;20;1;1;Piura;Piura;Piura;10026912917;Pollería Mi Carreta;Farfán Rishing Jorge;21/03/2007;6/01/2025
Snack Bar Romano;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Jr. Ayacucho 580;lcastillomartinez@gmail.com; ;073 323399;20;1;1;Piura;Piura;Piura;20105354330;Snack Bar Romano;Snack Bar Romano E.I.R.L.;21/03/2007;6/01/2025
Bar El Marqués de los Portales;2204;ENTRETENIMIENTO;220409;Bares/Pubs;220409;Bares/Pubs;Calle Libertad 875;losportalesreservas@losportales.com.pe;www.hotelportalespiura.com;073 321161;20;1;1;Piura;Piura;Piura;20301837896;Bar El Marqués de los Portales;Los Portales S.A;28/03/2007;4/01/2025
Posada del Sol;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Panamericana Mza. C1, Lote 10 Urb. San Ramon;   ; ;073 308729;20;1;1;Piura;Piura;Piura;10028614476;Posada del Sol;Vegas Romero Yessenia;28/03/2007;3/01/2025
Empresa de Transportes Vegas ;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Panamericana C10 - Lt 10, Urb. San Ramón;;   ;073 308729;20;2;1;Piura;Ayabaca;Ayabaca;20222237123;Empresa de Transportes Vegas ;Empresa de Transportes Vegas ;19/04/2007;4/01/2025
Transportes El Poderoso Cautivo ;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Prolongación Sánchez Cerro Mz. 09 Lt. S/N – Zona industrial (Terminal Gechisa);eliana_st@hotmail.com; ;073 750267;20;1;1;Piura;Piura;Piura;20276304721;Transportes El Poderoso Cautivo ;Transportes El Poderoso Cautivo E.I.R.L.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Sánchez Cerro Nº 1121;;www.transporteschiclayo.com;073 308455;20;1;1;Piura;Piura;Piura;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. José Leonardo Ortiz 010 ; atencionalcliente@transporteschiclayo.pe;www.transporteschiclayo.com; 074 607 032 ;14;1;1;Lambayeque;Chiclayo;Chiclayo;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Túpac Amaru Cdra. 69 - Gran Terminal Terrestre;   ;www.transporteschiclayo.com;01 5440609;15;1;12;Lima;Lima;Independencia;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Vía de Evitamiento Sur 2339 - Nuevo Terminal Terrestre; ;www.transporteschiclayo.com; 074 607032;6;1;1;Cajamarca;Cajamarca;Cajamarca;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Mesones Muro Cuadra 7 Esquina Av. La Marina; ;www.transporteschiclayo.com;972013941;6;8;1;Cajamarca;Jaén;Jaén;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Panamericana Nte. 1249, Tumbes.;ofi.tumbes@transporteschiclayo.pe;www.transporteschiclayo.com; 072 525260;24;1;1;Tumbes;Tumbes;Tumbes;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
Transportes Chiclayo;2203;TRANSPORTE;220301;Terrestre;22030101;Transporte Terrestre Nacional;Av. Paseo de la República 857 ;atencionalcliente@transporteschiclayo.pe;www.transporteschiclayo.com;972013941;15;1;15;Lima;Lima;La Victoria;20103626448;Transportes Chiclayo;Empresa de Transportes Chiclayo S.A.;19/04/2007;4/01/2025
China Wok;2202;ALIMENTOS Y BEBIDAS;220207;Fast Foods;220207;Fast Foods;C.C Open Plaza /  C.C Real Plaza;;www.chinawok.com.pe;01 6128000;20;1;1;Piura;Piura;Piura;20101869947;China Wok;Alert del Perú S.A;11/06/2007;6/01/2025
China Wok;2202;ALIMENTOS Y BEBIDAS;220221;Chifas;220221;Chifas;C.C Open Plaza /  C.C Real Plaza;;www.chinawok.com.pe;01 6128000;20;1;1;Piura;Piura;Piura;20101869947;China Wok;Alert del Perú S.A;11/06/2007;6/01/2025
China Wok;2202;ALIMENTOS Y BEBIDAS;220221;Chifas;220221;Chifas;Av. Ejercito 1009, local 233. C.C. Real Plaza; ;www.chinawok.com.pe;01 6128000;4;1;3;Arequipa;Arequipa;Cayma;20101869947;China Wok;Alert del Perú S.A;11/06/2007;6/01/2025
China Wok;2202;ALIMENTOS Y BEBIDAS;220207;Fast Foods;220207;Fast Foods;Av. Ejercito 1009, local 233. C.C. Real Plaza; ;www.chinawok.com.pe;01 6128000;4;1;3;Arequipa;Arequipa;Cayma;20101869947;China Wok;Alert del Perú S.A;11/06/2007;6/01/2025
Ganesa Explorer;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Luzuriaga 650-2° Piso;ganesaexpeditions@hotmail.com; ;943480202;2;1;1;Áncash;Huaraz;Huaraz;10316576261;Ganesa Explorer;Sucesión Indivisa Palma Zambrano Rosalina Blanca;20/06/2007;22/01/2025
Turismo Ideal;2205;AGENCIAS DE VIAJES Y TURISMO;220502;Agencias Minoristas;220502;Agencias Minoristas;Av. José Balta 901 (Presencial y Digital) ;turismoideal1@hotmail.com;www.turismoideal.com;995774550;14;1;1;Lambayeque;Chiclayo;Chiclayo;20352947165;Turismo Ideal;Turismo Ideal E.I.R.LTDA.;20/07/2007;17/01/2025
El Ajicito ;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Av. Las Gardenias Mz B Lt 5 Urb.La Providencia;elnuevoajicito@hotmail.com;;073 331290;20;1;1;Piura;Piura;Piura;20526694997;El Ajicito ;Restaurant Cevicheria El Ajicito E.I.R.L.;26/07/2007;6/01/2025
Piura Taxi;2203;TRANSPORTE;220301;Terrestre;22030103;Taxis;Urb. Santa Ana - 1;serviciospiurataxi@hotmail.com;www.piurataxi.com;073 303999;20;1;1;Piura;Piura;Piura;10026117416;Piura Taxi;Ines Isabel Lozada Farfán;8/08/2007;4/01/2025
Mundo Visa Tours ;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Junín 544;mundovisatoursperu@gmail.com;www.mundovisatours.pe;977256885;20;1;1;Piura;Piura;Piura;20602033831;Mundo Visa Tours ;Mundo Visa Tours E.I.R.L;22/08/2007;4/01/2025
Aranwa Vichayito Bungalows & Carpas ;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Carretera Antigua Panamericana Norte Vichayito Km 1211;reservas@aranwahotels.com;www.aranwahotels.com;01 2070440;20;7;5;Piura;Talara;Los Órganos;20510931514;Aranwa Vichayito Bungalows & Carpas ;Peruvian Tours Agency S.A.C.;31/10/2007;4/01/2025
Peru Paradise Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Urb. Los Pinos Mz E Lt 16 Pimentel (Presencial y Digital) ;info@voyageauperou.info     nancy@peruparadisetravel.com;www.peruviaggi.info     www.peruparadisetravel.com;947941735;14;1;12;Lambayeque;Chiclayo;Pimentel;20480044151;Peru Paradise Travel;Peru Paradise Travel EIRL;16/11/2007;17/01/2025
Long Horn ;2202;ALIMENTOS Y BEBIDAS;220205;Restaurantes de Carnes y Parrillas;220205;Restaurantes de Carnes y Parrillas;Av. Sánchez Cerro N° 234.  (C.C Real Plaza- 1er nivel) ;admi.piura@longhorn.com.pe;www.longhorn.com.pe;073 306086;20;1;1;Piura;Piura;Piura;20554742573;Long Horn ;L.H. Piura S.A.C.;4/08/2008;6/01/2025
Long Horn ;2202;ALIMENTOS Y BEBIDAS;220205;Restaurantes de Carnes y Parrillas;220205;Restaurantes de Carnes y Parrillas;C.C. Real Plaza Cajamarca, Av. Vía de Evitamiento Norte; ;www.longhorn.com.pe; 076 357099;6;1;1;Cajamarca;Cajamarca;Cajamarca;20554742573;Long Horn ;L.H. Piura S.A.C.;4/08/2008;6/01/2025
Picantería La Chayo;2202;ALIMENTOS Y BEBIDAS;220218;Picanterías;220218;Picanterías;Jr.San Francisco 497;lachayo.catacaos@gmail.com; ;969675140;20;1;5;Piura;Piura;Catacaos;10027023831;Picantería La Chayo;Zapata Juarez Jacinto;25/09/2008;6/01/2025
Andean Lodges;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220108;Ecolodge;220108;Ecolodge;Alfredo Yepez Miranda C-5, Dpto.201, Urb. Magisterial segunda etapa (Presencial y Digital);info@andeanlodges.com;www.andeanlodges.com;084 224613;8;1;1;Cusco;Cusco;Cusco;20527679622;Andean Lodges;Camino del Apu Ausangate S.C.R.L;3/12/2008;26/01/2025
Andean Lodges;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Alfredo Yepez Miranda C-5, Dpto.201, Urb. Magisterial segunda etapa (Presencial y Digital);info@andeanlodges.com;www.andeanlodges.com;084 224613;8;1;1;Cusco;Cusco;Cusco;20527679622;Andean Lodges;Camino del Apu Ausangate S.C.R.L;3/12/2008;26/01/2025
Expediciones Wayna Picchu;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Quera 227;expe_waynapicchu@hotmail.com; https://www.expedicioneswaynapicchu.com/;984679545;8;1;1;Cusco;Cusco;Cusco;20450730174;Expediciones Wayna Picchu;Expediciones Wayna Picchu Travel Agency E.I.R.L.;11/02/2009;18/01/2025
Hotel Sol María;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220101;Hoteles;22010104;H.2 Estrellas;Cl. Junín 675;hotelsolmaria@hotmail.com;www.hotelsolmaria.com; 073 307143;20;1;1;Piura;Piura;Piura;20525327958;Hotel Sol María;Hotel Sol María E.I.R.L.;23/06/2009;3/01/2025
Perú Apurimac Travel;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Cl. Pumapaccha 634;peruapurimactravel0@gmail.com; ;900215177;8;1;1;Cusco;Cusco;Cusco;20492316441;Perú Apurimac Travel;Perú Apurimac Travel S.A.C.;4/09/2009;26/01/2025
Hotel DCO Suites, Lounge & Spa;2201;ESTABLECIMIENTOS DE HOSPEDAJE;220107;Hospedaje no Categorizado;220107;Hospedaje no Categorizado;Ex Panamericana Norte Km 1214 + 800 Las Pocitas, Máncora;informes@hoteldco.com;www.hoteldco.com; 073 258171;20;7;6;Piura;Talara;Máncora;20514752240;Hotel DCO Suites, Lounge & Spa;Inversiones Del Sol y La Luna S.A.C;26/10/2009;4/01/2025
Restaurant Turístico La Tomasita;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Cl. Tacna 853;gerencia@latomasitarestaurant.com ;www.latomasitarestaurant.com;073 321957;20;1;1;Piura;Piura;Piura;20525954014;Restaurant Turístico La Tomasita;Restaurant del Norte S.A.C.;3/12/2009;6/01/2025
Pérou Tours;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Av. Jorge Chávez B-1, APV. Reyna de Belén;peroutours@gmail.com;www.peroutours.com;984515268;8;1;8;Cusco;Cusco;Wanchaq;20489989337;Pérou Tours;Pérou Tours E.I.R.L;4/01/2010;31/01/2025
Santu Tour Operador;2205;AGENCIAS DE VIAJES Y TURISMO;220503;Operador de Turismo;220503;Operador de Turismo;Sector Huincho Km 70;info@santucusco.com;www.santucusco.com;984672579;8;13;1;Cusco;Urubamba;Urubamba;20490311905;Santu Tour Operador;Illa Yaku S.A.C.;19/04/2010;25/01/2025
Don Parce;2202;ALIMENTOS Y BEBIDAS;220216;Restaurant & Bar;220216;Restaurant & Bar; Cl. Arequipa 943 - 2do Piso;  ; ;969092812;20;1;1;Piura;Piura;Piura;20607543501;Don Parce;San José Restaurante EIRL;31/05/2010;6/01/2025
Rustica;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Pje. San Ramón 104  ;calledelaspizzas@rustica.com.pe ;https://cartas.rclub.pe/tiendas;01  6807070   ;15;1;22;Lima;Lima;Miraflores;20557123106;Rustica;Fundación Corporación Rústica;10/02/2011;29/01/2025
Rustica;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Cl. Juan Figari 135    ;rustica@hellomarketing.pe;https://cartas.rclub.pe/tiendas;01  6807070   ;15;1;22;Lima;Lima;Miraflores;20557123106;Rustica;Fundación Corporación Rústica;10/02/2011;29/01/2025
Rustica;2202;ALIMENTOS Y BEBIDAS;220202;Restaurantes comida Peruana;220202;Restaurantes comida Peruana;Av. Pedro de Osma 105 - Parque Municipal     ;rustica@hellomarketing.pe;https://cartas.rclub.pe/tiendas;01  6807070   ;15;1;4;Lima;Lima;Barranco;20557123106;Rustica;Fundación Corporación Rústica;10/02/2011;29/01/2025
